!
! START OF RUN INFORMATION
!  Run number  : 76784
!  Title       : CaF2
!  Temperature : 50.000 K
!  Field       : 20.00 G
!  Comment     : Calibration run
!  Started     : 2019-06-18  10:10:09
!  Stopped     : 2019-06-18  10:14:38
!  Histograms  : 32 [64 det] (2048 bins of 16000 ps = 32.77 µs)
!  Events      : 4.78 MEv grouped in range (raw = 5.06) [10634 fr, 449 Ev/fr]
! END OF RUN INFORMATION
!
! START OF GROUPING INFORMATION
!  Group#01  Hist(t0): 01( 29) 02( 29) 03( 29) 04( 29) 05( 29) 06( 29) 07( 29) 08( 29) 09( 29) 10( 29) 11( 29) 12( 29) 13( 29) 14( 29) 15( 29) 16( 29) 
!  Group#02  Hist(t0): 17( 29) 18( 29) 19( 29) 20( 29) 21( 29) 22( 29) 23( 29) 24( 29) 25( 29) 26( 29) 27( 29) 28( 29) 29( 29) 30( 29) 31( 29) 32( 29) 
!  Forward Group = 02, Backward Group = 01, Alpha = 1.0000
!  Offset to first good bin =  7, Last good bin = 2048
!  Fixed binning, bunching factor =  5
!  Deadtime correction off
!  Background correction off
! END OF GROUPING INFORMATION
!
! START OF DATA SET INFORMATION
!  Datarow: (Time) (raw data) (Error)  (group)
!  Title: Group2 
!  Xlabel: Time in microseconds
!  Ylabel: Count
! END OF DATA SET INFORMATION
!
0.144 22259 66.7218 2
0.224 21557.6 65.6622 2
0.304 20656.6 64.2753 2
0.384 19585 62.5859 2
0.464 18742.8 61.2255 2
0.544 17861 59.7679 2
0.624 17018.8 58.3418 2
0.7040001 16360.2 57.2017 2
0.784 15683 56.0054 2
0.864 14946.6 54.6747 2
0.9440001 14456.2 53.7703 2
1.024 13857.4 52.6448 2
1.104 13441.8 51.8494 2
1.184 12919.8 50.8327 2
1.264 12395.6 49.7908 2
1.344 11990 48.9694 2
1.424 11567.2 48.0982 2
1.504 11233.2 47.3987 2
1.584 10707.2 46.2757 2
1.664 10392.8 45.5912 2
1.744 9926.2 44.556 2
1.824 9552.8 43.71 2
1.904 9243.4 42.9963 2
1.984 8800 41.9524 2
2.064 8566.8 41.3928 2
2.144 8147.6 40.3673 2
2.224 7908.8 39.7713 2
2.304 7583.4 38.9446 2
2.384 7415 38.5097 2
2.464 7178.6 37.8909 2
2.544 7012.2 37.4492 2
2.624 6645.8 36.4576 2
2.704 6486.2 36.0172 2
2.784 6289.4 35.4666 2
2.864 6054 34.7966 2
2.944 5939.8 34.4668 2
3.024 5714.8 33.8077 2
3.104 5559.2 33.3443 2
3.184 5363.4 32.7518 2
3.264 5193.6 32.2292 2
3.344 5070.2 31.844 2
3.424 4948 31.4579 2
3.504 4750 30.8221 2
3.584 4593.6 30.3104 2
3.664 4309.4 29.3578 2
3.744 4184.2 28.9282 2
3.824 4076 28.5517 2
3.904 3882 27.864 2
3.984 3782.2 27.5035 2
4.064 3642.4 26.9904 2
4.144 3499.4 26.4552 2
4.224 3320.2 25.769 2
4.304 3206.4 25.3235 2
4.384 3111.6 24.9463 2
4.464 2984.8 24.4328 2
4.544 2857.8 23.9073 2
4.624 2738.6 23.4034 2
4.704 2626.4 22.919 2
4.784 2550.2 22.5841 2
4.864 2454.6 22.1567 2
4.944 2376 21.7991 2
5.024 2262.2 21.2706 2
5.104 2226.2 21.1007 2
5.184 2157.6 20.7731 2
5.264 2088 20.4353 2
5.344 1957.4 19.7859 2
5.424 1904.8 19.5182 2
5.504 1838.4 19.175 2
5.584 1776.4 18.8489 2
5.664 1732.8 18.6161 2
5.744 1620 18 2
5.824 1583.8 17.7978 2
5.904 1527.4 17.478 2
5.984 1476 17.1814 2
6.064 1423.2 16.8713 2
6.144 1382.6 16.6289 2
6.224 1332.4 16.3242 2
6.304 1313.6 16.2086 2
6.384 1244.4 15.7759 2
6.464 1235.6 15.7201 2
6.544 1151.6 15.1763 2
6.624001 1132.2 15.0479 2
6.704 1078.8 14.6888 2
6.784 1050 14.4914 2
6.864 1058.8 14.552 2
6.944 998.6 14.1322 2
7.024 959.6 13.8535 2
7.104001 954.6 13.8174 2
7.184 870.6 13.1955 2
7.264 875.2 13.2303 2
7.344 834.4 12.9182 2
7.424 818.8 12.7969 2
