0.16	8.58661	0.035125
0.272	7.73366	0.0359409
0.384	6.66936	0.0367911
0.496	5.37155	0.0376494
0.608	4.1827	0.038552
0.72	3.01825	0.0394447
0.832	2.20574	0.0403956
0.9440001	1.71325	0.0414105
1.056	1.44312	0.0424286
1.168	1.71007	0.0435247
1.28	2.19877	0.0446782
1.392	2.89052	0.0458535
1.504	3.67963	0.0470433
1.616	4.55802	0.0483145
1.728	5.20713	0.0496004
1.84	5.68424	0.0508696
1.952	5.88942	0.0521806
2.064	5.91128	0.0534869
2.176	5.53492	0.0548396
2.288	5.05322	0.0562414
2.4	4.19957	0.0576004
2.512	3.75371	0.0590687
2.624	2.92159	0.0604586
2.736	2.56789	0.0620148
2.848	2.43147	0.063614
2.96	2.22924	0.0651699
3.072	2.31479	0.0668625
3.184	2.43481	0.0686357
3.296	2.93757	0.0703822
3.408	3.07453	0.0722034
3.52	3.31076	0.0741274
3.632	3.37764	0.0759731
3.744	3.40315	0.0779236
3.856	3.03754	0.079944
3.968	2.60765	0.0819372
4.08	2.26471	0.083979
4.192	1.76495	0.0861108
4.304	1.67222	0.0883067
4.416	1.18002	0.0905092
4.528	1.12578	0.0927403
4.64	1.49969	0.0951777
4.752	1.49301	0.0976586
4.864	2.07658	0.100173
4.976	2.82414	0.102863
5.088	3.45425	0.105674
5.2	4.05824	0.10832
5.312	4.39336	0.111251
5.424	4.52647	0.114183
5.536	4.71292	0.117095
5.648	4.50943	0.120084
5.76	4.17454	0.122954
5.872	3.72876	0.126129
5.984	2.97035	0.129258
6.096	2.52449	0.132695
6.208	1.63897	0.135848
6.32	0.87848	0.139164
6.432	0.983418	0.142681
6.544	0.633888	0.146469
6.656	0.757961	0.150119
6.768	1.3758	0.154343
6.88	1.67345	0.158339
6.992	1.87667	0.162227
7.104001	3.01758	0.166691
7.216001	3.09192	0.170839
7.328001	3.3466	0.175537
7.440001	3.92865	0.180181
7.552001	3.68418	0.184911
7.664001	3.18084	0.18933
7.776	3.27225	0.19455
7.888	3.08784	0.19917
8	2.06535	0.204438
8.112	2.5471	0.209771
8.224	1.57102	0.215042
8.336	0.867485	0.219955
8.448	0.583452	0.225517
8.56	1.00372	0.23154
8.672001	1.00804	0.237358
8.784	1.2679	0.243915
8.896001	1.16738	0.249557
9.008	1.26185	0.256381
9.120001	1.94531	0.263155
9.232	1.91069	0.270301
9.344001	1.59653	0.276652
9.456	1.6646	0.284012
