!
! START OF RUN INFORMATION
!  Run number  : 76785
!  Title       : CaF2
!  Temperature : 50.000 K
!  Field       : 0.00 G
!  Comment     : Long ZF run
!  Started     : 2019-06-18  10:15:27
!  Stopped     : 2019-06-18  13:05:47
!  Histograms  : 32 [64 det] (2048 bins of 16000 ps = 32.77 µs)
!  Events      : 180.8 MEv grouped in range (raw = 191.4) [405252 fr, 446 Ev/fr]
! END OF RUN INFORMATION
!
! START OF GROUPING INFORMATION
!  Group#01  Hist(t0): 01( 29) 02( 29) 03( 29) 04( 29) 05( 29) 06( 29) 07( 29) 08( 29) 09( 29) 10( 29) 11( 29) 12( 29) 13( 29) 14( 29) 15( 29) 16( 29) 
!  Group#02  Hist(t0): 17( 29) 18( 29) 19( 29) 20( 29) 21( 29) 22( 29) 23( 29) 24( 29) 25( 29) 26( 29) 27( 29) 28( 29) 29( 29) 30( 29) 31( 29) 32( 29) 
!  Forward Group = 02, Backward Group = 01, Alpha = 1.6280
!  Offset to first good bin =  7, Last good bin = 2048
!  Fixed binning, bunching factor =  5
!  Deadtime correction off
!  Background correction off
! END OF GROUPING INFORMATION
!
! START OF DATA SET INFORMATION
!  Datarow: (Time) (FB asymmetry) (Error) 
!  Title: F-B Asymmetry
!  Xlabel: Time in microseconds
!  Ylabel: % Asymmetry
! END OF DATA SET INFORMATION
!
14.144 2.69207 0.976453
14.224 3.24271 0.996423
14.304 2.19645 1.01755
14.384 3.49862 1.04348
14.464 3.1288 1.05307
14.544 1.57263 1.06823
14.624 1.41739 1.09082
14.704 1.76114 1.10422
14.784 0.0953712 1.13505
14.864 0.609012 1.13864
14.944 0.750385 1.16799
15.024 1.20806 1.17388
15.104 4.89909 1.21518
15.184 0.152368 1.2333
15.264 0.352875 1.25529
15.344 1.8917 1.28224
15.424 3.39987 1.30781
15.504 2.09568 1.3527
15.584 -1.03355 1.35283
15.664 1.9576 1.38412
15.744 -1.21413 1.39949
15.824 2.50005 1.4279
15.904 1.47102 1.4582
15.984 1.57258 1.45955
16.064 2.97074 1.50171
16.144 2.31666 1.5333
16.224 3.90243 1.55653
16.304 0.098094 1.56184
16.384 2.14602 1.61765
16.464 1.76102 1.63538
16.544 -1.74093 1.65069
16.624 -0.160319 1.69153
16.704 1.06943 1.72554
16.784 5.96925 1.77217
16.864 4.5197 1.81944
16.944 2.01164 1.83299
17.024 0.425388 1.8866
17.104 4.10798 1.92102
17.184 2.53277 1.96697
17.264 0.651846 1.98396
17.344 -0.730926 2.00924
17.424 7.08044 2.04964
17.504 0.405896 2.06423
17.584 1.41554 2.09869
17.664 1.4157 2.20196
17.744 -0.57757 2.17203
17.824 3.13115 2.27511
17.904 6.70286 2.30599
17.984 1.4898 2.34696
18.064 6.75555 2.3366
18.144 0.392954 2.38195
18.224 1.56653 2.46106
18.304 4.42331 2.52711
18.384 0.637883 2.51054
18.464 -2.98432 2.54177
18.544 0.542577 2.61178
18.624 0.943603 2.56451
18.704 1.48452 2.7075
18.784 -2.07145 2.75412
18.864 -0.527676 2.71628
18.944 2.03289 2.83197
19.024 2.51305 2.8553
19.104 4.24189 2.90997
19.184 2.24468 3.02522
19.264 0.565324 3.05989
19.344 1.59568 3.15588
19.424 -0.194077 3.27355
